217	15	332	0	0
217	21	397	0	0
262	1	117	0	0
262	18	251	0	0
262	18	592	0	0
262	17	0	0	0
262	7	399	0	0
262	21	271	0	0
262	6	511	0	0
262	18	68	0	0
262	2	204	0	0
262	2	204	0	0
262	18	211	0	0
262	19	210	0	0
262	6	63	0	0
262	19	343	0	0
262	16	325	0	0
262	16	326	0	0
262	21	293	0	0
262	21	459	0	0
262	21	337	0	0
262	2	169	0	0
262	15	154	0	0
262	8	322	0	0
262	8	221	0	0
262	21	201	0	0
167	1	556	0	0
524	1	358	0	0
129	1	586	0	0
122	1	117	0	0
601	1	373	0	0
179	1	301	0	0
598	1	373	0	0
415	17	21	0	0
415	17	21	0	0
415	21	224	0	0
415	3	478	0	0
415	13	496	0	0
415	21	539	0	0
415	17	278	0	0
415	15	218	0	0
415	25	37	0	0
415	13	37	0	0
415	4	10	0	0
415	3	2	0	0
415	17	33	0	0
415	1	378	0	0
416	17	281	0	0
575	17	315	0	0
596	17	393	0	0
109	17	385	0	0
109	15	131	0	0
57	17	384	0	0
57	15	121	0	0
94	17	383	0	0
94	15	132	0	0
152	25	36	0	0
152	13	35	0	0
367	17	277	0	0
381	17	513	0	0
595	17	387	0	0
115	25	54	0	0
115	13	53	0	0
115	16	9	0	0
115	14	9	0	0
505	17	247	0	0
505	25	45	0	0
504	7	114	0	0
504	6	114	0	0
504	25	49	0	0
504	23	55	0	0
431	17	370	0	0
431	9	371	0	0
431	10	463	0	0
431	20	52	0	0
431	14	368	0	0
431	13	512	0	0
431	25	517	0	0
431	16	51	0	0
431	21	71	0	0
431	5	364	0	0
431	23	32	0	0
431	22	114	0	0
431	3	48	0	0
463	23	43	0	0
463	19	8	0	0
463	20	32	0	0
436	10	463	0	0
436	23	463	0	0
436	15	245	0	0
436	19	51	0	0
436	17	344	0	0
436	20	319	0	0
436	0	146	0	0
437	1	465	0	0
437	10	463	0	0
437	17	548	0	0
440	15	427	0	0
440	17	41	0	0
440	10	463	0	0
438	15	482	0	0
438	23	463	0	0
438	10	463	0	0
438	17	7	0	0
96	17	464	0	0
96	10	463	0	0
96	23	463	0	0
96	20	320	0	0
432	17	499	0	0
